frame,track_id,violation_type,vehicle_type,signal_state,timestamp
8,1,Rash Driving,car,RED,2026-02-13T21:07:20
8,2,Rash Driving,car,RED,2026-02-13T21:07:20
8,3,Rash Driving,car,RED,2026-02-13T21:07:20
8,4,Rash Driving,car,RED,2026-02-13T21:07:20
8,5,Rash Driving,car,RED,2026-02-13T21:07:20
8,6,Rash Driving,truck,RED,2026-02-13T21:07:20
8,7,Rash Driving,car,RED,2026-02-13T21:07:20
8,8,Rash Driving,car,RED,2026-02-13T21:07:20
8,9,Rash Driving,car,RED,2026-02-13T21:07:20
8,10,Rash Driving,car,RED,2026-02-13T21:07:20
8,12,Rash Driving,car,RED,2026-02-13T21:07:20
8,14,Rash Driving,car,RED,2026-02-13T21:07:20
12,11,Rash Driving,truck,RED,2026-02-13T21:07:21
12,17,Rash Driving,car,RED,2026-02-13T21:07:21
16,1,Rash Driving,car,RED,2026-02-13T21:07:21
16,2,Rash Driving,car,RED,2026-02-13T21:07:21
16,3,Rash Driving,car,RED,2026-02-13T21:07:21
16,4,Rash Driving,car,RED,2026-02-13T21:07:21
16,5,Rash Driving,car,RED,2026-02-13T21:07:21
16,8,Rash Driving,car,RED,2026-02-13T21:07:21
16,12,Rash Driving,car,RED,2026-02-13T21:07:21
16,15,Rash Driving,car,RED,2026-02-13T21:07:21
20,7,Rash Driving,car,RED,2026-02-13T21:07:21
20,13,Rash Driving,car,RED,2026-02-13T21:07:21
20,16,Rash Driving,car,RED,2026-02-13T21:07:21
20,18,Rash Driving,car,RED,2026-02-13T21:07:21
20,19,Rash Driving,truck,RED,2026-02-13T21:07:21
24,1,Rash Driving,car,RED,2026-02-13T21:07:21
24,2,Rash Driving,car,RED,2026-02-13T21:07:21
24,3,Rash Driving,car,RED,2026-02-13T21:07:21
24,4,Rash Driving,car,RED,2026-02-13T21:07:21
24,5,Rash Driving,car,RED,2026-02-13T21:07:21
24,15,Rash Driving,car,RED,2026-02-13T21:07:21
28,4,Red Light Jump,car,RED,2026-02-13T21:07:21
28,7,Rash Driving,car,RED,2026-02-13T21:07:21
28,9,Rash Driving,car,RED,2026-02-13T21:07:21
28,12,Rash Driving,car,RED,2026-02-13T21:07:21
28,14,Rash Driving,car,RED,2026-02-13T21:07:21
28,17,Rash Driving,car,RED,2026-02-13T21:07:21
28,18,Rash Driving,car,RED,2026-02-13T21:07:21
32,1,Rash Driving,car,GREEN,2026-02-13T21:07:21
32,2,Rash Driving,car,GREEN,2026-02-13T21:07:21
32,4,Rash Driving,car,GREEN,2026-02-13T21:07:21
32,5,Rash Driving,car,GREEN,2026-02-13T21:07:21
