frame_id,track_id,vehicle_type,bbox,center_x,center_y,timestamp
24,1,car,"70,167,61,46",100.5,190.0,2026-02-18T23:57:32
24,2,car,"152,153,45,42",174.5,174.0,2026-02-18T23:57:32
24,3,car,"210,168,41,44",230.5,190.0,2026-02-18T23:57:32
24,4,car,"36,148,59,43",65.5,169.5,2026-02-18T23:57:32
48,1,car,"110,141,44,40",132.0,161.0,2026-02-18T23:57:32
48,2,car,"122,182,58,51",151.0,207.5,2026-02-18T23:57:32
48,3,car,"194,198,48,35",218.0,215.5,2026-02-18T23:57:32
48,4,bus,"0,96,65,59",32.5,125.5,2026-02-18T23:57:32
48,5,car,"239,128,27,30",252.5,143.0,2026-02-18T23:57:32
48,6,car,"185,125,33,35",201.5,142.5,2026-02-18T23:57:32
72,1,car,"105,124,39,28",124.5,138.0,2026-02-18T23:57:32
72,2,car,"57,171,62,55",88.0,198.5,2026-02-18T23:57:32
72,4,bus,"31,87,61,47",61.5,110.5,2026-02-18T23:57:32
72,5,car,"234,139,29,30",248.5,154.0,2026-02-18T23:57:32
72,7,truck,"32,87,60,46",62.0,110.0,2026-02-18T23:57:32
96,1,car,"137,133,31,27",152.5,146.5,2026-02-18T23:57:32
96,2,car,"55,150,55,43",82.5,171.5,2026-02-18T23:57:32
96,3,car,"144,162,49,52",168.5,188.0,2026-02-18T23:57:32
96,5,car,"227,150,34,45",244.0,172.5,2026-02-18T23:57:32
96,6,car,"190,128,30,33",205.0,144.5,2026-02-18T23:57:32
96,8,bus,"251,95,43,55",272.5,122.5,2026-02-18T23:57:32
120,2,car,"91,158,52,45",117.0,180.5,2026-02-18T23:57:33
120,4,car,"0,190,55,43",27.5,211.5,2026-02-18T23:57:33
120,5,car,"214,168,43,51",235.5,193.5,2026-02-18T23:57:33
120,6,car,"172,142,40,46",192.0,165.0,2026-02-18T23:57:33
120,8,bus,"244,101,48,58",268.0,130.0,2026-02-18T23:57:33
144,2,car,"90,146,40,43",110.0,167.5,2026-02-18T23:57:33
144,3,car,"151,157,52,56",177.0,185.0,2026-02-18T23:57:33
144,4,car,"29,204,68,29",63.0,218.5,2026-02-18T23:57:33
144,5,car,"195,195,57,38",223.5,214.0,2026-02-18T23:57:33
144,6,car,"195,129,29,32",209.5,145.0,2026-02-18T23:57:33
144,8,bus,"236,108,51,66",261.5,141.0,2026-02-18T23:57:33
168,1,car,"190,90,27,28",203.5,104.0,2026-02-18T23:57:33
168,2,car,"123,192,68,42",157.0,213.0,2026-02-18T23:57:33
168,3,car,"178,144,37,41",196.5,164.5,2026-02-18T23:57:33
168,4,car,"23,177,81,57",63.5,205.5,2026-02-18T23:57:33
168,5,car,"281,118,27,26",294.5,131.0,2026-02-18T23:57:33
168,6,car,"209,111,28,26",223.0,124.0,2026-02-18T23:57:33
168,7,bus,"0,97,68,56",34.0,125.0,2026-02-18T23:57:33
168,8,bus,"227,115,57,83",255.5,156.5,2026-02-18T23:57:33
192,2,car,"90,156,54,50",117.0,181.0,2026-02-18T23:57:33
192,3,car,"157,161,51,51",182.5,186.5,2026-02-18T23:57:33
192,5,car,"282,124,29,29",296.5,138.5,2026-02-18T23:57:33
192,6,car,"199,124,29,28",213.5,138.0,2026-02-18T23:57:33
192,7,bus,"46,86,59,45",75.5,108.5,2026-02-18T23:57:33
192,8,bus,"213,130,68,101",247.0,180.5,2026-02-18T23:57:33
216,1,car,"158,120,36,33",176.0,136.5,2026-02-18T23:57:33
216,2,car,"67,139,60,49",97.0,163.5,2026-02-18T23:57:33
216,3,car,"131,187,62,46",162.0,210.0,2026-02-18T23:57:33
216,4,car,"15,122,46,28",38.0,136.0,2026-02-18T23:57:33
216,5,car,"282,133,28,31",296.0,148.5,2026-02-18T23:57:33
216,6,car,"185,139,32,33",201.0,155.5,2026-02-18T23:57:33
216,8,bus,"195,142,81,91",235.5,187.5,2026-02-18T23:57:33
240,1,car,"127,143,46,41",150.0,163.5,2026-02-18T23:57:33
240,2,car,"0,170,75,62",37.5,201.0,2026-02-18T23:57:33
240,4,car,"0,133,30,27",15.0,146.5,2026-02-18T23:57:33
240,5,car,"280,141,28,36",294.0,159.0,2026-02-18T23:57:33
240,6,car,"167,152,47,40",190.5,172.0,2026-02-18T23:57:33
240,7,car,"67,103,33,26",83.5,116.0,2026-02-18T23:57:33
240,8,car,"212,124,30,29",227.0,138.5,2026-02-18T23:57:33
264,1,car,"73,174,67,56",106.5,202.0,2026-02-18T23:57:34
264,3,car,"148,173,46,43",171.0,194.5,2026-02-18T23:57:34
264,5,car,"274,153,33,38",290.5,172.0,2026-02-18T23:57:34
264,6,car,"225,175,39,38",244.5,194.0,2026-02-18T23:57:34
264,7,car,"42,113,40,25",62.0,125.5,2026-02-18T23:57:34
264,8,car,"201,134,36,34",219.0,151.0,2026-02-18T23:57:34
264,9,car,"258,122,29,30",272.5,137.0,2026-02-18T23:57:34
264,10,car,"283,104,22,24",294.0,116.0,2026-02-18T23:57:34
288,1,car,"95,167,48,44",119.0,189.0,2026-02-18T23:57:34
288,2,car,"38,157,66,48",71.0,181.0,2026-02-18T23:57:34
288,5,car,"265,164,37,42",283.5,185.0,2026-02-18T23:57:34
288,6,car,"216,189,48,44",240.0,211.0,2026-02-18T23:57:34
288,8,car,"190,145,40,48",210.0,169.0,2026-02-18T23:57:34
