frame,track_id,violation_type,vehicle_type,signal_state,timestamp
20,1,Rash Driving,bike,GREEN,2026-02-18T17:35:56
20,2,Rash Driving,bike,GREEN,2026-02-18T17:35:56
20,4,Rash Driving,car,GREEN,2026-02-18T17:35:56
30,2,Rash Driving,bike,RED,2026-02-18T17:35:56
30,6,Rash Driving,car,RED,2026-02-18T17:35:56
30,7,Rash Driving,bike,RED,2026-02-18T17:35:56
30,8,Red Light Jump,bike,RED,2026-02-18T17:35:56
40,4,Rash Driving,car,GREEN,2026-02-18T17:35:56
40,6,Rash Driving,car,GREEN,2026-02-18T17:35:56
40,8,Rash Driving,bike,GREEN,2026-02-18T17:35:56
50,4,Rash Driving,car,RED,2026-02-18T17:35:56
50,7,Rash Driving,bike,RED,2026-02-18T17:35:56
50,8,Rash Driving,bike,RED,2026-02-18T17:35:56
60,1,Rash Driving,bike,GREEN,2026-02-18T17:35:56
60,4,Rash Driving,car,GREEN,2026-02-18T17:35:56
60,7,Rash Driving,bike,GREEN,2026-02-18T17:35:56
60,9,Rash Driving,bike,GREEN,2026-02-18T17:35:56
60,10,Rash Driving,car,GREEN,2026-02-18T17:35:56
70,1,Rash Driving,bike,GREEN,2026-02-18T17:35:56
70,2,Rash Driving,bike,GREEN,2026-02-18T17:35:56
70,7,Rash Driving,bike,GREEN,2026-02-18T17:35:56
70,8,Rash Driving,bike,GREEN,2026-02-18T17:35:56
80,3,Rash Driving,car,RED,2026-02-18T17:35:56
80,4,Rash Driving,car,RED,2026-02-18T17:35:56
80,7,Rash Driving,bike,RED,2026-02-18T17:35:56
80,8,Red Light Jump,bike,RED,2026-02-18T17:35:56
80,8,Rash Driving,bike,RED,2026-02-18T17:35:56
90,3,Rash Driving,car,GREEN,2026-02-18T17:35:57
90,8,Rash Driving,car,GREEN,2026-02-18T17:35:57
90,10,Rash Driving,car,GREEN,2026-02-18T17:35:57
100,3,Rash Driving,car,RED,2026-02-18T17:35:57
100,10,Rash Driving,car,RED,2026-02-18T17:35:57
100,11,Rash Driving,bike,RED,2026-02-18T17:35:57
110,1,Rash Driving,bike,GREEN,2026-02-18T17:35:57
110,2,Rash Driving,bike,GREEN,2026-02-18T17:35:57
110,3,Rash Driving,car,GREEN,2026-02-18T17:35:57
120,2,Rash Driving,bike,RED,2026-02-18T17:35:57
120,3,Rash Driving,car,RED,2026-02-18T17:35:57
120,4,Rash Driving,car,RED,2026-02-18T17:35:57
120,12,Rash Driving,car,RED,2026-02-18T17:35:57
130,3,Rash Driving,car,RED,2026-02-18T17:35:57
130,12,Rash Driving,car,RED,2026-02-18T17:35:57
140,3,Rash Driving,car,GREEN,2026-02-18T17:35:58
140,4,Rash Driving,car,GREEN,2026-02-18T17:35:58
140,12,Rash Driving,car,GREEN,2026-02-18T17:35:58
150,3,Rash Driving,car,RED,2026-02-18T17:35:58
150,4,Rash Driving,car,RED,2026-02-18T17:35:58
150,12,Rash Driving,car,RED,2026-02-18T17:35:58
160,1,Rash Driving,bike,GREEN,2026-02-18T17:35:58
160,3,Rash Driving,car,GREEN,2026-02-18T17:35:58
160,4,Rash Driving,car,GREEN,2026-02-18T17:35:58
160,6,Rash Driving,car,GREEN,2026-02-18T17:35:58
160,7,Rash Driving,bike,GREEN,2026-02-18T17:35:58
160,12,Rash Driving,car,GREEN,2026-02-18T17:35:58
170,1,Rash Driving,bike,RED,2026-02-18T17:35:58
170,3,Rash Driving,car,RED,2026-02-18T17:35:58
170,4,Rash Driving,car,RED,2026-02-18T17:35:58
170,6,Rash Driving,car,RED,2026-02-18T17:35:58
180,3,Rash Driving,car,GREEN,2026-02-18T17:35:59
180,4,Rash Driving,car,GREEN,2026-02-18T17:35:59
180,6,Rash Driving,car,GREEN,2026-02-18T17:35:59
180,7,Rash Driving,bike,GREEN,2026-02-18T17:35:59
190,3,Rash Driving,car,GREEN,2026-02-18T17:35:59
190,4,Rash Driving,car,GREEN,2026-02-18T17:35:59
190,6,Rash Driving,car,GREEN,2026-02-18T17:35:59
190,7,Rash Driving,bike,GREEN,2026-02-18T17:35:59
190,11,Rash Driving,bike,GREEN,2026-02-18T17:35:59
200,2,Rash Driving,bike,RED,2026-02-18T17:35:59
200,3,Rash Driving,car,RED,2026-02-18T17:35:59
200,4,Rash Driving,car,RED,2026-02-18T17:35:59
200,6,Rash Driving,car,RED,2026-02-18T17:35:59
200,7,Rash Driving,bike,RED,2026-02-18T17:35:59
200,13,Rash Driving,bike,RED,2026-02-18T17:35:59
210,3,Rash Driving,car,GREEN,2026-02-18T17:35:59
210,4,Rash Driving,car,GREEN,2026-02-18T17:35:59
210,6,Rash Driving,car,GREEN,2026-02-18T17:35:59
210,7,Rash Driving,bike,GREEN,2026-02-18T17:35:59
220,3,Rash Driving,car,RED,2026-02-18T17:36:00
220,4,Rash Driving,car,RED,2026-02-18T17:36:00
220,6,Rash Driving,car,RED,2026-02-18T17:36:00
220,12,Rash Driving,car,RED,2026-02-18T17:36:00
230,3,Rash Driving,car,GREEN,2026-02-18T17:36:00
230,4,Rash Driving,car,GREEN,2026-02-18T17:36:00
240,2,Rash Driving,bike,RED,2026-02-18T17:36:00
240,3,Rash Driving,car,RED,2026-02-18T17:36:00
240,4,Rash Driving,car,RED,2026-02-18T17:36:00
240,6,Rash Driving,car,RED,2026-02-18T17:36:00
250,4,Rash Driving,car,RED,2026-02-18T17:36:00
260,1,Rash Driving,bike,GREEN,2026-02-18T17:36:01
260,12,Rash Driving,car,GREEN,2026-02-18T17:36:01
270,2,Red Light Jump,car,RED,2026-02-18T17:36:01
270,2,Rash Driving,car,RED,2026-02-18T17:36:01
280,12,Rash Driving,car,GREEN,2026-02-18T17:36:01
290,4,Rash Driving,car,RED,2026-02-18T17:36:01
290,7,Rash Driving,bike,RED,2026-02-18T17:36:01
290,12,Rash Driving,car,RED,2026-02-18T17:36:01
300,4,Rash Driving,car,GREEN,2026-02-18T17:36:02
300,12,Rash Driving,car,GREEN,2026-02-18T17:36:02
310,4,Rash Driving,car,GREEN,2026-02-18T17:36:02
310,7,Rash Driving,bike,GREEN,2026-02-18T17:36:02
310,14,Rash Driving,car,GREEN,2026-02-18T17:36:02
320,2,Rash Driving,car,RED,2026-02-18T17:36:02
320,3,Rash Driving,car,RED,2026-02-18T17:36:02
320,4,Red Light Jump,car,RED,2026-02-18T17:36:02
320,4,Rash Driving,car,RED,2026-02-18T17:36:02
