frame_id,track_id,vehicle_type,bbox,center_x,center_y,timestamp
10,1,bike,"436,259,31,47",451.5,282.5,2026-02-18T17:35:56
10,2,bike,"348,234,34,53",365.0,260.5,2026-02-18T17:35:56
10,3,car,"214,43,31,27",229.5,56.5,2026-02-18T17:35:56
10,4,car,"351,76,41,43",371.5,97.5,2026-02-18T17:35:56
20,1,bike,"454,283,43,66",475.5,316.0,2026-02-18T17:35:56
20,2,bike,"353,250,37,58",371.5,279.0,2026-02-18T17:35:56
20,3,car,"215,44,30,26",230.0,57.0,2026-02-18T17:35:56
20,4,car,"244,56,33,35",260.5,73.5,2026-02-18T17:35:56
20,5,bike,"236,315,48,44",260.0,337.0,2026-02-18T17:35:56
20,6,bike,"336,142,37,48",354.5,166.0,2026-02-18T17:35:56
20,7,bike,"151,184,24,38",163.0,203.0,2026-02-18T17:35:56
20,8,bike,"412,169,25,33",424.5,185.5,2026-02-18T17:35:56
30,2,bike,"361,271,40,64",381.0,303.0,2026-02-18T17:35:56
30,3,car,"215,45,30,25",230.0,57.5,2026-02-18T17:35:56
30,4,car,"244,56,34,35",261.0,73.5,2026-02-18T17:35:56
30,6,car,"296,67,30,33",311.0,83.5,2026-02-18T17:35:56
30,7,bike,"144,186,25,46",156.5,209.0,2026-02-18T17:35:56
30,8,bike,"412,167,31,41",427.5,187.5,2026-02-18T17:35:56
40,2,bike,"373,298,44,59",395.0,327.5,2026-02-18T17:35:56
40,3,car,"215,47,29,23",229.5,58.5,2026-02-18T17:35:56
40,4,car,"245,55,33,35",261.5,72.5,2026-02-18T17:35:56
40,6,car,"352,73,41,44",372.5,95.0,2026-02-18T17:35:56
40,7,bike,"138,195,27,48",151.5,219.0,2026-02-18T17:35:56
40,8,bike,"420,180,27,40",433.5,200.0,2026-02-18T17:35:56
40,9,bike,"380,162,37,34",398.5,179.0,2026-02-18T17:35:56
50,3,car,"215,47,29,23",229.5,58.5,2026-02-18T17:35:56
50,4,car,"245,55,33,34",261.5,72.0,2026-02-18T17:35:56
50,6,car,"352,73,41,44",372.5,95.0,2026-02-18T17:35:56
50,7,bike,"131,193,30,55",146.0,220.5,2026-02-18T17:35:56
50,8,bike,"333,191,26,44",346.0,213.0,2026-02-18T17:35:56
50,9,bike,"381,164,38,32",400.0,180.0,2026-02-18T17:35:56
50,10,car,"0,98,49,41",24.5,118.5,2026-02-18T17:35:56
50,11,bike,"68,290,47,69",91.5,324.5,2026-02-18T17:35:56
50,12,car,"296,64,31,35",311.5,81.5,2026-02-18T17:35:56
60,1,bike,"444,224,28,47",458.0,247.5,2026-02-18T17:35:56
60,3,car,"216,48,27,21",229.5,58.5,2026-02-18T17:35:56
60,4,car,"245,54,32,34",261.0,71.0,2026-02-18T17:35:56
60,6,car,"352,73,42,43",373.0,94.5,2026-02-18T17:35:56
60,7,bike,"128,206,30,53",143.0,232.5,2026-02-18T17:35:56
60,9,bike,"488,224,32,44",504.0,246.0,2026-02-18T17:35:56
60,10,car,"3,88,61,36",33.5,106.0,2026-02-18T17:35:56
60,12,car,"296,62,32,37",312.0,80.5,2026-02-18T17:35:56
70,1,bike,"461,259,32,52",477.0,285.0,2026-02-18T17:35:56
70,2,bike,"366,250,34,58",383.0,279.0,2026-02-18T17:35:56
70,3,car,"216,40,28,28",230.0,54.0,2026-02-18T17:35:56
70,6,car,"351,72,42,44",372.0,94.0,2026-02-18T17:35:56
70,7,bike,"126,229,28,44",140.0,251.0,2026-02-18T17:35:56
70,8,bike,"382,163,35,34",399.5,180.0,2026-02-18T17:35:56
80,3,car,"216,40,28,28",230.0,54.0,2026-02-18T17:35:56
80,4,car,"246,54,30,33",261.0,70.5,2026-02-18T17:35:56
80,6,car,"352,71,41,44",372.5,93.0,2026-02-18T17:35:56
80,7,bike,"119,239,33,50",135.5,264.0,2026-02-18T17:35:56
80,8,bike,"389,170,29,34",403.5,187.0,2026-02-18T17:35:56
90,3,car,"216,39,29,29",230.5,53.5,2026-02-18T17:35:57
90,4,car,"246,54,31,32",261.5,70.0,2026-02-18T17:35:57
90,6,car,"352,70,42,45",373.0,92.5,2026-02-18T17:35:57
90,8,car,"390,161,27,36",403.5,179.0,2026-02-18T17:35:57
90,10,car,"71,61,39,27",90.5,74.5,2026-02-18T17:35:57
90,12,car,"296,60,34,39",313.0,79.5,2026-02-18T17:35:57
100,3,car,"216,41,29,28",230.5,55.0,2026-02-18T17:35:57
100,6,car,"353,70,41,44",373.5,92.0,2026-02-18T17:35:57
100,10,car,"82,53,39,27",101.5,66.5,2026-02-18T17:35:57
100,11,bike,"103,283,33,52",119.5,309.0,2026-02-18T17:35:57
100,12,car,"296,60,34,39",313.0,79.5,2026-02-18T17:35:57
110,1,bike,"433,226,33,44",449.5,248.0,2026-02-18T17:35:57
110,2,bike,"337,194,23,50",348.5,219.0,2026-02-18T17:35:57
110,3,car,"216,41,29,28",230.5,55.0,2026-02-18T17:35:57
110,4,car,"246,55,31,31",261.5,70.5,2026-02-18T17:35:57
110,6,car,"354,69,40,46",374.0,92.0,2026-02-18T17:35:57
110,10,car,"98,47,33,23",114.5,58.5,2026-02-18T17:35:57
110,12,car,"296,60,34,38",313.0,79.0,2026-02-18T17:35:57
120,2,bike,"341,233,26,47",354.0,256.5,2026-02-18T17:35:57
120,3,car,"217,40,28,28",231.0,54.0,2026-02-18T17:35:57
120,4,car,"246,55,31,31",261.5,70.5,2026-02-18T17:35:57
120,6,car,"354,70,41,45",374.5,92.5,2026-02-18T17:35:57
120,10,car,"108,42,31,23",123.5,53.5,2026-02-18T17:35:57
120,12,car,"297,62,32,36",313.0,80.0,2026-02-18T17:35:57
130,3,car,"217,40,28,27",231.0,53.5,2026-02-18T17:35:57
130,4,car,"246,54,31,32",261.5,70.0,2026-02-18T17:35:57
130,6,car,"353,71,43,44",374.5,93.0,2026-02-18T17:35:57
130,10,car,"118,38,23,21",129.5,48.5,2026-02-18T17:35:57
130,12,car,"296,62,33,37",312.5,80.5,2026-02-18T17:35:57
140,3,car,"217,40,28,28",231.0,54.0,2026-02-18T17:35:58
140,4,car,"246,53,33,35",262.5,70.5,2026-02-18T17:35:58
140,6,car,"353,71,42,45",374.0,93.5,2026-02-18T17:35:58
140,12,car,"296,65,33,34",312.5,82.0,2026-02-18T17:35:58
150,3,car,"217,40,28,28",231.0,54.0,2026-02-18T17:35:58
150,4,car,"246,51,34,37",263.0,69.5,2026-02-18T17:35:58
