frame,track_id,violation_type,vehicle_type,signal_state,timestamp
30,3,Rash Driving,car,GREEN,2026-02-14T10:52:57
30,4,Rash Driving,bike,GREEN,2026-02-14T10:52:57
30,5,Rash Driving,bike,GREEN,2026-02-14T10:52:57
45,2,Rash Driving,car,RED,2026-02-14T10:52:57
45,6,Rash Driving,bike,RED,2026-02-14T10:52:57
45,7,Rash Driving,bike,RED,2026-02-14T10:52:57
60,5,Rash Driving,bike,GREEN,2026-02-14T10:52:57
75,3,Rash Driving,car,GREEN,2026-02-14T10:52:58
90,2,Rash Driving,car,RED,2026-02-14T10:52:58
90,5,Rash Driving,bike,RED,2026-02-14T10:52:58
90,7,Rash Driving,bike,RED,2026-02-14T10:52:58
105,3,Rash Driving,car,GREEN,2026-02-14T10:52:58
120,4,Rash Driving,bike,RED,2026-02-14T10:52:58
120,5,Rash Driving,bike,RED,2026-02-14T10:52:58
120,7,Rash Driving,bike,RED,2026-02-14T10:52:58
120,8,Rash Driving,car,RED,2026-02-14T10:52:58
135,1,Rash Driving,car,RED,2026-02-14T10:52:59
135,2,Rash Driving,car,RED,2026-02-14T10:52:59
135,3,Rash Driving,car,RED,2026-02-14T10:52:59
150,6,Rash Driving,bike,GREEN,2026-02-14T10:52:59
150,8,Rash Driving,car,GREEN,2026-02-14T10:52:59
150,9,Rash Driving,bike,GREEN,2026-02-14T10:52:59
165,1,Rash Driving,car,RED,2026-02-14T10:52:59
165,2,Rash Driving,car,RED,2026-02-14T10:52:59
165,4,Rash Driving,bike,RED,2026-02-14T10:52:59
165,5,Rash Driving,bike,RED,2026-02-14T10:52:59
165,7,Rash Driving,bike,RED,2026-02-14T10:52:59
180,9,Rash Driving,bike,GREEN,2026-02-14T10:53:00
195,1,Rash Driving,car,GREEN,2026-02-14T10:53:00
195,2,Rash Driving,bike,GREEN,2026-02-14T10:53:00
195,3,Rash Driving,bike,GREEN,2026-02-14T10:53:00
195,5,Rash Driving,bike,GREEN,2026-02-14T10:53:00
195,8,Rash Driving,car,GREEN,2026-02-14T10:53:00
210,4,Rash Driving,bike,RED,2026-02-14T10:53:00
210,6,Rash Driving,bike,RED,2026-02-14T10:53:00
210,7,Rash Driving,bike,RED,2026-02-14T10:53:00
210,9,Rash Driving,bike,RED,2026-02-14T10:53:00
210,10,Rash Driving,bike,RED,2026-02-14T10:53:00
225,1,Rash Driving,car,GREEN,2026-02-14T10:53:01
225,2,Rash Driving,bike,GREEN,2026-02-14T10:53:01
225,5,Rash Driving,bike,GREEN,2026-02-14T10:53:01
240,8,Rash Driving,car,RED,2026-02-14T10:53:01
240,10,Rash Driving,bike,RED,2026-02-14T10:53:01
255,2,Rash Driving,bike,RED,2026-02-14T10:53:02
255,3,Rash Driving,bike,RED,2026-02-14T10:53:02
255,7,Rash Driving,bike,RED,2026-02-14T10:53:02
255,9,Rash Driving,bike,RED,2026-02-14T10:53:02
270,6,Rash Driving,bike,GREEN,2026-02-14T10:53:02
270,8,Rash Driving,car,GREEN,2026-02-14T10:53:02
270,10,Rash Driving,bike,GREEN,2026-02-14T10:53:02
270,11,Rash Driving,bike,GREEN,2026-02-14T10:53:02
285,1,Rash Driving,car,RED,2026-02-14T10:53:02
285,9,Rash Driving,bike,RED,2026-02-14T10:53:02
300,6,Rash Driving,bike,GREEN,2026-02-14T10:53:03
300,11,Rash Driving,bike,GREEN,2026-02-14T10:53:03
315,8,Rash Driving,car,GREEN,2026-02-14T10:53:03
315,10,Rash Driving,car,GREEN,2026-02-14T10:53:03
330,1,Rash Driving,car,RED,2026-02-14T10:53:04
330,2,Rash Driving,bike,RED,2026-02-14T10:53:04
330,6,Rash Driving,bike,RED,2026-02-14T10:53:04
330,9,Rash Driving,bike,RED,2026-02-14T10:53:04
330,11,Rash Driving,bike,RED,2026-02-14T10:53:04
345,8,Rash Driving,car,GREEN,2026-02-14T10:53:05
360,1,Rash Driving,car,RED,2026-02-14T10:53:05
360,9,Rash Driving,bike,RED,2026-02-14T10:53:05
360,12,Rash Driving,bike,RED,2026-02-14T10:53:05
375,2,Rash Driving,bike,RED,2026-02-14T10:53:06
375,6,Rash Driving,bike,RED,2026-02-14T10:53:06
375,8,Rash Driving,car,RED,2026-02-14T10:53:06
390,9,Rash Driving,bike,GREEN,2026-02-14T10:53:06
390,12,Rash Driving,bike,GREEN,2026-02-14T10:53:06
405,1,Rash Driving,car,RED,2026-02-14T10:53:07
405,2,Rash Driving,bike,RED,2026-02-14T10:53:07
405,6,Rash Driving,bike,RED,2026-02-14T10:53:07
420,11,Rash Driving,bike,GREEN,2026-02-14T10:53:08
435,4,Rash Driving,bike,GREEN,2026-02-14T10:53:08
435,6,Rash Driving,bike,GREEN,2026-02-14T10:53:08
435,8,Rash Driving,car,GREEN,2026-02-14T10:53:08
450,1,Red Light Jump,car,RED,2026-02-14T10:53:09
450,12,Red Light Jump,bus,RED,2026-02-14T10:53:09
450,12,Rash Driving,bus,RED,2026-02-14T10:53:09
465,2,Rash Driving,bike,GREEN,2026-02-14T10:53:09
480,1,Rash Driving,car,RED,2026-02-14T10:53:10
480,11,Rash Driving,bike,RED,2026-02-14T10:53:10
495,2,Rash Driving,bike,RED,2026-02-14T10:53:10
495,4,Rash Driving,bike,RED,2026-02-14T10:53:10
495,5,Rash Driving,car,RED,2026-02-14T10:53:10
510,1,Rash Driving,car,GREEN,2026-02-14T10:53:11
510,6,Rash Driving,truck,GREEN,2026-02-14T10:53:11
510,9,Rash Driving,bike,GREEN,2026-02-14T10:53:11
510,10,Rash Driving,bike,GREEN,2026-02-14T10:53:11
510,11,Rash Driving,bike,GREEN,2026-02-14T10:53:11
510,12,Rash Driving,car,GREEN,2026-02-14T10:53:11
525,2,Rash Driving,bike,RED,2026-02-14T10:53:11
525,3,Rash Driving,bike,RED,2026-02-14T10:53:11
525,4,Rash Driving,bike,RED,2026-02-14T10:53:11
525,5,Rash Driving,car,RED,2026-02-14T10:53:11
525,6,Red Light Jump,truck,RED,2026-02-14T10:53:11
555,1,Rash Driving,car,GREEN,2026-02-14T10:53:12
555,6,Rash Driving,car,GREEN,2026-02-14T10:53:12
555,9,Rash Driving,bike,GREEN,2026-02-14T10:53:12
555,11,Rash Driving,bike,GREEN,2026-02-14T10:53:12
570,3,Rash Driving,bike,RED,2026-02-14T10:53:13
570,5,Rash Driving,truck,RED,2026-02-14T10:53:13
570,10,Red Light Jump,bus,RED,2026-02-14T10:53:13
585,1,Rash Driving,car,GREEN,2026-02-14T10:53:13
585,6,Rash Driving,truck,GREEN,2026-02-14T10:53:13
585,10,Rash Driving,bus,GREEN,2026-02-14T10:53:13
600,2,Rash Driving,bike,RED,2026-02-14T10:53:14
600,3,Rash Driving,bike,RED,2026-02-14T10:53:14
600,4,Rash Driving,bike,RED,2026-02-14T10:53:14
600,9,Rash Driving,bike,RED,2026-02-14T10:53:14
615,1,Rash Driving,car,RED,2026-02-14T10:53:14
615,10,Rash Driving,bus,RED,2026-02-14T10:53:14
630,5,Rash Driving,truck,GREEN,2026-02-14T10:53:15
630,9,Rash Driving,bike,GREEN,2026-02-14T10:53:15
630,12,Rash Driving,car,GREEN,2026-02-14T10:53:15
645,2,Rash Driving,bike,RED,2026-02-14T10:53:15
645,6,Rash Driving,bus,RED,2026-02-14T10:53:15
645,11,Rash Driving,bike,RED,2026-02-14T10:53:15
