frame,track_id,violation_type,vehicle_type,signal_state,timestamp
6,1,Rash Driving,car,RED,2026-02-13T18:41:17
6,2,Rash Driving,car,RED,2026-02-13T18:41:17
6,3,Rash Driving,car,RED,2026-02-13T18:41:17
6,4,Rash Driving,car,RED,2026-02-13T18:41:17
6,6,Rash Driving,bike,RED,2026-02-13T18:41:17
12,5,Rash Driving,bike,RED,2026-02-13T18:41:17
12,7,Rash Driving,bike,RED,2026-02-13T18:41:17
12,10,Rash Driving,bike,RED,2026-02-13T18:41:17
36,1,Rash Driving,car,RED,2026-02-13T18:41:18
36,3,Rash Driving,car,RED,2026-02-13T18:41:18
36,4,Rash Driving,car,RED,2026-02-13T18:41:18
36,8,Rash Driving,bike,RED,2026-02-13T18:41:18
42,6,Rash Driving,bike,RED,2026-02-13T18:41:19
42,10,Rash Driving,bike,RED,2026-02-13T18:41:19
45,7,Rash Driving,bike,RED,2026-02-13T18:41:19
66,1,Rash Driving,car,RED,2026-02-13T18:41:21
66,11,Rash Driving,bike,RED,2026-02-13T18:41:21
69,4,Rash Driving,car,RED,2026-02-13T18:41:21
69,8,Rash Driving,bike,RED,2026-02-13T18:41:21
69,11,Red Light Jump,car,RED,2026-02-13T18:41:21
75,3,Rash Driving,bike,RED,2026-02-13T18:41:21
75,5,Rash Driving,car,RED,2026-02-13T18:41:21
87,12,Rash Driving,bike,RED,2026-02-13T18:41:22
90,13,Rash Driving,car,RED,2026-02-13T18:41:22
99,4,Rash Driving,car,RED,2026-02-13T18:41:22
105,3,Rash Driving,bike,GREEN,2026-02-13T18:41:23
105,5,Rash Driving,car,GREEN,2026-02-13T18:41:23
108,1,Rash Driving,car,GREEN,2026-02-13T18:41:23
114,8,Rash Driving,bike,GREEN,2026-02-13T18:41:23
117,12,Rash Driving,bike,GREEN,2026-02-13T18:41:23
123,14,Rash Driving,bike,GREEN,2026-02-13T18:41:24
126,15,Rash Driving,bike,GREEN,2026-02-13T18:41:24
129,4,Rash Driving,car,GREEN,2026-02-13T18:41:24
135,3,Rash Driving,bike,GREEN,2026-02-13T18:41:24
135,5,Rash Driving,car,GREEN,2026-02-13T18:41:24
138,1,Rash Driving,car,GREEN,2026-02-13T18:41:24
138,11,Rash Driving,car,GREEN,2026-02-13T18:41:24
144,16,Rash Driving,bike,GREEN,2026-02-13T18:41:25
147,12,Rash Driving,bike,GREEN,2026-02-13T18:41:25
153,14,Rash Driving,bike,GREEN,2026-02-13T18:41:25
159,4,Rash Driving,car,GREEN,2026-02-13T18:41:25
162,15,Rash Driving,bike,GREEN,2026-02-13T18:41:26
168,1,Rash Driving,car,GREEN,2026-02-13T18:41:26
