frame,track_id,violation_type,vehicle_type,signal_state,timestamp
8,1,Rash Driving,car,RED,2026-02-13T18:52:00
8,2,Rash Driving,car,RED,2026-02-13T18:52:00
8,3,Rash Driving,car,RED,2026-02-13T18:52:00
8,4,Rash Driving,car,RED,2026-02-13T18:52:00
8,5,Rash Driving,bike,RED,2026-02-13T18:52:00
8,6,Rash Driving,bike,RED,2026-02-13T18:52:00
12,8,Rash Driving,bike,RED,2026-02-13T18:52:00
12,9,Rash Driving,bike,RED,2026-02-13T18:52:00
36,1,Rash Driving,car,RED,2026-02-13T18:52:01
36,3,Rash Driving,car,RED,2026-02-13T18:52:01
36,4,Rash Driving,car,RED,2026-02-13T18:52:01
36,7,Rash Driving,bike,RED,2026-02-13T18:52:01
40,5,Rash Driving,bike,RED,2026-02-13T18:52:01
40,8,Rash Driving,bike,RED,2026-02-13T18:52:01
40,9,Rash Driving,bike,RED,2026-02-13T18:52:01
64,1,Rash Driving,car,RED,2026-02-13T18:52:02
64,3,Rash Driving,car,RED,2026-02-13T18:52:02
64,4,Rash Driving,car,RED,2026-02-13T18:52:02
64,7,Rash Driving,bike,RED,2026-02-13T18:52:02
68,9,Rash Driving,bike,RED,2026-02-13T18:52:02
68,10,Red Light Jump,car,RED,2026-02-13T18:52:02
68,10,Rash Driving,car,RED,2026-02-13T18:52:02
84,11,Rash Driving,bike,GREEN,2026-02-13T18:52:03
88,12,Rash Driving,truck,GREEN,2026-02-13T18:52:03
92,3,Rash Driving,car,GREEN,2026-02-13T18:52:03
92,7,Rash Driving,bike,GREEN,2026-02-13T18:52:03
96,1,Rash Driving,bike,GREEN,2026-02-13T18:52:03
96,4,Rash Driving,car,GREEN,2026-02-13T18:52:03
120,3,Rash Driving,car,GREEN,2026-02-13T18:52:04
120,7,Rash Driving,bike,GREEN,2026-02-13T18:52:04
120,12,Rash Driving,car,GREEN,2026-02-13T18:52:04
120,14,Rash Driving,bike,GREEN,2026-02-13T18:52:04
124,1,Rash Driving,bike,GREEN,2026-02-13T18:52:05
124,4,Rash Driving,car,GREEN,2026-02-13T18:52:05
124,11,Rash Driving,bike,GREEN,2026-02-13T18:52:05
124,15,Rash Driving,bike,GREEN,2026-02-13T18:52:05
140,10,Rash Driving,bike,GREEN,2026-02-13T18:52:05
148,3,Rash Driving,car,GREEN,2026-02-13T18:52:06
148,7,Rash Driving,bike,GREEN,2026-02-13T18:52:06
148,12,Rash Driving,car,GREEN,2026-02-13T18:52:06
148,14,Rash Driving,bike,GREEN,2026-02-13T18:52:06
148,16,Rash Driving,car,GREEN,2026-02-13T18:52:06
152,1,Rash Driving,bike,RED,2026-02-13T18:52:06
152,4,Rash Driving,car,RED,2026-02-13T18:52:06
168,15,Rash Driving,bike,RED,2026-02-13T18:52:06
172,17,Rash Driving,bike,RED,2026-02-13T18:52:06
176,10,Rash Driving,bike,RED,2026-02-13T18:52:07
176,12,Rash Driving,car,RED,2026-02-13T18:52:07
176,14,Rash Driving,bike,RED,2026-02-13T18:52:07
176,16,Rash Driving,car,RED,2026-02-13T18:52:07
180,1,Rash Driving,bike,RED,2026-02-13T18:52:07
180,4,Rash Driving,car,RED,2026-02-13T18:52:07
