frame,track_id,violation_type,vehicle_type,signal_state,timestamp
20,5,Rash Driving,car,GREEN,2026-02-18T17:34:03
30,4,Rash Driving,car,RED,2026-02-18T17:34:03
40,5,Rash Driving,car,RED,2026-02-18T17:34:03
60,1,Rash Driving,car,RED,2026-02-18T17:34:03
60,8,Rash Driving,car,RED,2026-02-18T17:34:03
70,1,Rash Driving,car,RED,2026-02-18T17:34:03
70,2,Rash Driving,car,RED,2026-02-18T17:34:03
70,3,Rash Driving,car,RED,2026-02-18T17:34:03
80,1,Rash Driving,car,GREEN,2026-02-18T17:34:03
80,2,Rash Driving,car,GREEN,2026-02-18T17:34:03
80,3,Rash Driving,car,GREEN,2026-02-18T17:34:03
80,5,Rash Driving,car,GREEN,2026-02-18T17:34:03
80,6,Rash Driving,car,GREEN,2026-02-18T17:34:03
90,1,Rash Driving,car,RED,2026-02-18T17:34:03
90,2,Rash Driving,car,RED,2026-02-18T17:34:03
90,3,Rash Driving,car,RED,2026-02-18T17:34:03
90,8,Rash Driving,car,RED,2026-02-18T17:34:03
90,9,Rash Driving,car,RED,2026-02-18T17:34:03
100,1,Rash Driving,car,RED,2026-02-18T17:34:04
100,2,Rash Driving,car,RED,2026-02-18T17:34:04
100,4,Rash Driving,car,RED,2026-02-18T17:34:04
110,1,Rash Driving,car,GREEN,2026-02-18T17:34:04
110,6,Rash Driving,car,GREEN,2026-02-18T17:34:04
110,7,Rash Driving,car,GREEN,2026-02-18T17:34:04
120,7,Rash Driving,car,RED,2026-02-18T17:34:04
130,5,Rash Driving,car,RED,2026-02-18T17:34:04
140,1,Rash Driving,bus,GREEN,2026-02-18T17:34:04
140,4,Rash Driving,car,GREEN,2026-02-18T17:34:04
140,6,Rash Driving,car,GREEN,2026-02-18T17:34:04
140,9,Rash Driving,car,GREEN,2026-02-18T17:34:04
150,1,Rash Driving,bus,RED,2026-02-18T17:34:04
150,5,Rash Driving,car,RED,2026-02-18T17:34:04
150,9,Rash Driving,car,RED,2026-02-18T17:34:04
160,5,Rash Driving,car,RED,2026-02-18T17:34:04
170,8,Rash Driving,car,GREEN,2026-02-18T17:34:05
170,10,Rash Driving,car,GREEN,2026-02-18T17:34:05
180,4,Rash Driving,car,RED,2026-02-18T17:34:05
180,5,Rash Driving,car,RED,2026-02-18T17:34:05
180,10,Rash Driving,car,RED,2026-02-18T17:34:05
190,4,Rash Driving,car,RED,2026-02-18T17:34:05
190,6,Rash Driving,car,RED,2026-02-18T17:34:05
200,5,Rash Driving,car,GREEN,2026-02-18T17:34:06
200,6,Rash Driving,bus,GREEN,2026-02-18T17:34:06
200,9,Rash Driving,car,GREEN,2026-02-18T17:34:06
210,3,Rash Driving,car,RED,2026-02-18T17:34:06
210,5,Rash Driving,car,RED,2026-02-18T17:34:06
210,7,Rash Driving,car,RED,2026-02-18T17:34:06
220,1,Rash Driving,car,RED,2026-02-18T17:34:06
220,7,Rash Driving,car,RED,2026-02-18T17:34:06
230,1,Rash Driving,car,GREEN,2026-02-18T17:34:06
230,4,Rash Driving,car,GREEN,2026-02-18T17:34:06
230,7,Rash Driving,car,GREEN,2026-02-18T17:34:06
230,8,Rash Driving,car,GREEN,2026-02-18T17:34:06
230,9,Rash Driving,car,GREEN,2026-02-18T17:34:06
230,11,Rash Driving,car,GREEN,2026-02-18T17:34:06
240,4,Rash Driving,car,RED,2026-02-18T17:34:07
240,7,Rash Driving,car,RED,2026-02-18T17:34:07
240,8,Rash Driving,car,RED,2026-02-18T17:34:07
240,9,Rash Driving,car,RED,2026-02-18T17:34:07
250,4,Rash Driving,car,RED,2026-02-18T17:34:07
250,8,Rash Driving,car,RED,2026-02-18T17:34:07
250,11,Rash Driving,car,RED,2026-02-18T17:34:07
260,5,Rash Driving,car,GREEN,2026-02-18T17:34:07
260,8,Rash Driving,car,GREEN,2026-02-18T17:34:07
260,10,Rash Driving,car,GREEN,2026-02-18T17:34:07
270,6,Rash Driving,car,RED,2026-02-18T17:34:07
280,1,Rash Driving,car,RED,2026-02-18T17:34:08
280,3,Rash Driving,car,RED,2026-02-18T17:34:08
280,5,Rash Driving,car,RED,2026-02-18T17:34:08
280,7,Rash Driving,car,RED,2026-02-18T17:34:08
280,8,Rash Driving,car,RED,2026-02-18T17:34:08
290,5,Rash Driving,car,GREEN,2026-02-18T17:34:08
300,6,Rash Driving,car,RED,2026-02-18T17:34:08
300,7,Rash Driving,car,RED,2026-02-18T17:34:08
300,11,Rash Driving,car,RED,2026-02-18T17:34:08
310,5,Rash Driving,car,RED,2026-02-18T17:34:08
320,2,Rash Driving,car,GREEN,2026-02-18T17:34:09
320,6,Rash Driving,car,GREEN,2026-02-18T17:34:09
320,7,Rash Driving,car,GREEN,2026-02-18T17:34:09
320,10,Rash Driving,car,GREEN,2026-02-18T17:34:09
320,11,Rash Driving,car,GREEN,2026-02-18T17:34:09
330,1,Rash Driving,car,RED,2026-02-18T17:34:09
