frame,track_id,violation_type,vehicle_type,signal_state,timestamp
8,1,Rash Driving,car,RED,2026-02-14T00:02:53
8,2,Rash Driving,car,RED,2026-02-14T00:02:53
8,3,Rash Driving,car,RED,2026-02-14T00:02:53
8,4,Rash Driving,car,RED,2026-02-14T00:02:53
8,5,Rash Driving,bike,RED,2026-02-14T00:02:53
8,6,Rash Driving,bike,RED,2026-02-14T00:02:53
12,8,Rash Driving,bike,RED,2026-02-14T00:02:53
12,9,Rash Driving,bike,RED,2026-02-14T00:02:53
36,1,Rash Driving,car,RED,2026-02-14T00:02:54
36,3,Rash Driving,car,RED,2026-02-14T00:02:54
36,4,Rash Driving,car,RED,2026-02-14T00:02:54
36,7,Rash Driving,bike,RED,2026-02-14T00:02:54
40,5,Rash Driving,bike,RED,2026-02-14T00:02:54
40,8,Rash Driving,bike,RED,2026-02-14T00:02:54
40,9,Rash Driving,bike,RED,2026-02-14T00:02:54
64,1,Rash Driving,car,RED,2026-02-14T00:02:54
64,3,Rash Driving,car,RED,2026-02-14T00:02:54
64,4,Rash Driving,car,RED,2026-02-14T00:02:54
64,7,Rash Driving,bike,RED,2026-02-14T00:02:54
68,9,Rash Driving,bike,RED,2026-02-14T00:02:55
68,10,Red Light Jump,car,RED,2026-02-14T00:02:55
68,10,Rash Driving,car,RED,2026-02-14T00:02:55
84,11,Rash Driving,bike,GREEN,2026-02-14T00:02:55
88,12,Rash Driving,truck,GREEN,2026-02-14T00:02:55
92,3,Rash Driving,car,GREEN,2026-02-14T00:02:55
92,7,Rash Driving,bike,GREEN,2026-02-14T00:02:55
96,1,Rash Driving,bike,GREEN,2026-02-14T00:02:56
96,4,Rash Driving,car,GREEN,2026-02-14T00:02:56
120,3,Rash Driving,car,GREEN,2026-02-14T00:02:56
120,7,Rash Driving,bike,GREEN,2026-02-14T00:02:56
120,12,Rash Driving,car,GREEN,2026-02-14T00:02:56
120,14,Rash Driving,bike,GREEN,2026-02-14T00:02:56
124,1,Rash Driving,bike,GREEN,2026-02-14T00:02:56
124,4,Rash Driving,car,GREEN,2026-02-14T00:02:56
124,11,Rash Driving,bike,GREEN,2026-02-14T00:02:56
124,15,Rash Driving,bike,GREEN,2026-02-14T00:02:56
140,10,Rash Driving,bike,GREEN,2026-02-14T00:02:57
148,3,Rash Driving,car,GREEN,2026-02-14T00:02:57
148,7,Rash Driving,bike,GREEN,2026-02-14T00:02:57
148,12,Rash Driving,car,GREEN,2026-02-14T00:02:57
148,14,Rash Driving,bike,GREEN,2026-02-14T00:02:57
148,16,Rash Driving,car,GREEN,2026-02-14T00:02:57
152,1,Rash Driving,bike,RED,2026-02-14T00:02:57
152,4,Rash Driving,car,RED,2026-02-14T00:02:57
168,15,Rash Driving,bike,RED,2026-02-14T00:02:58
172,17,Rash Driving,bike,RED,2026-02-14T00:02:58
176,10,Rash Driving,bike,RED,2026-02-14T00:02:58
176,12,Rash Driving,car,RED,2026-02-14T00:02:58
176,14,Rash Driving,bike,RED,2026-02-14T00:02:58
