frame,track_id,violation_type,vehicle_type,signal_state,timestamp
20,1,Rash Driving,car,GREEN,2026-02-19T21:58:02
20,2,Rash Driving,car,GREEN,2026-02-19T21:58:02
20,4,Rash Driving,car,GREEN,2026-02-19T21:58:02
20,5,Rash Driving,car,GREEN,2026-02-19T21:58:02
20,7,Rash Driving,truck,GREEN,2026-02-19T21:58:02
30,1,Rash Driving,car,RED,2026-02-19T21:58:02
30,2,Rash Driving,car,RED,2026-02-19T21:58:02
30,5,Rash Driving,car,RED,2026-02-19T21:58:02
30,6,Rash Driving,car,RED,2026-02-19T21:58:02
30,7,Rash Driving,car,RED,2026-02-19T21:58:02
30,10,Rash Driving,bus,RED,2026-02-19T21:58:02
40,4,Rash Driving,car,GREEN,2026-02-19T21:58:03
40,6,Rash Driving,car,GREEN,2026-02-19T21:58:03
40,10,Rash Driving,bus,GREEN,2026-02-19T21:58:03
50,2,Rash Driving,car,RED,2026-02-19T21:58:03
50,5,Rash Driving,car,RED,2026-02-19T21:58:03
50,6,Red Light Jump,car,RED,2026-02-19T21:58:03
60,4,Rash Driving,car,GREEN,2026-02-19T21:58:03
60,8,Rash Driving,car,GREEN,2026-02-19T21:58:03
60,9,Rash Driving,car,GREEN,2026-02-19T21:58:03
60,10,Rash Driving,bus,GREEN,2026-02-19T21:58:03
70,5,Rash Driving,car,GREEN,2026-02-19T21:58:03
70,8,Rash Driving,car,GREEN,2026-02-19T21:58:03
70,10,Rash Driving,truck,GREEN,2026-02-19T21:58:03
70,11,Rash Driving,car,GREEN,2026-02-19T21:58:03
80,8,Rash Driving,bus,RED,2026-02-19T21:58:03
80,9,Rash Driving,car,RED,2026-02-19T21:58:03
80,11,Rash Driving,car,RED,2026-02-19T21:58:03
80,13,Red Light Jump,car,RED,2026-02-19T21:58:03
80,13,Rash Driving,car,RED,2026-02-19T21:58:03
90,1,Rash Driving,car,GREEN,2026-02-19T21:58:03
90,9,Rash Driving,car,GREEN,2026-02-19T21:58:03
90,11,Rash Driving,car,GREEN,2026-02-19T21:58:03
90,13,Rash Driving,car,GREEN,2026-02-19T21:58:03
100,3,Rash Driving,car,RED,2026-02-19T21:58:04
100,8,Red Light Jump,bus,RED,2026-02-19T21:58:04
100,9,Rash Driving,car,RED,2026-02-19T21:58:04
100,11,Rash Driving,car,RED,2026-02-19T21:58:04
100,12,Rash Driving,car,RED,2026-02-19T21:58:04
100,13,Rash Driving,car,RED,2026-02-19T21:58:04
110,5,Rash Driving,car,GREEN,2026-02-19T21:58:04
110,12,Rash Driving,car,GREEN,2026-02-19T21:58:04
110,13,Rash Driving,car,GREEN,2026-02-19T21:58:04
120,3,Rash Driving,car,RED,2026-02-19T21:58:05
120,7,Rash Driving,car,RED,2026-02-19T21:58:05
120,11,Rash Driving,car,RED,2026-02-19T21:58:05
120,12,Rash Driving,car,RED,2026-02-19T21:58:05
120,13,Rash Driving,car,RED,2026-02-19T21:58:05
130,6,Rash Driving,car,RED,2026-02-19T21:58:05
130,7,Rash Driving,car,RED,2026-02-19T21:58:05
130,11,Rash Driving,car,RED,2026-02-19T21:58:05
130,12,Rash Driving,car,RED,2026-02-19T21:58:05
130,13,Rash Driving,car,RED,2026-02-19T21:58:05
130,17,Rash Driving,car,RED,2026-02-19T21:58:05
140,11,Rash Driving,car,GREEN,2026-02-19T21:58:06
140,13,Rash Driving,car,GREEN,2026-02-19T21:58:06
140,15,Rash Driving,car,GREEN,2026-02-19T21:58:06
140,17,Rash Driving,car,GREEN,2026-02-19T21:58:06
150,6,Rash Driving,car,RED,2026-02-19T21:58:06
150,11,Rash Driving,car,RED,2026-02-19T21:58:06
150,12,Rash Driving,car,RED,2026-02-19T21:58:06
150,15,Rash Driving,car,RED,2026-02-19T21:58:06
160,1,Rash Driving,bus,GREEN,2026-02-19T21:58:07
160,2,Rash Driving,car,GREEN,2026-02-19T21:58:07
160,8,Rash Driving,bus,GREEN,2026-02-19T21:58:07
160,9,Rash Driving,car,GREEN,2026-02-19T21:58:07
160,13,Rash Driving,car,GREEN,2026-02-19T21:58:07
160,15,Rash Driving,car,GREEN,2026-02-19T21:58:07
170,1,Rash Driving,bus,RED,2026-02-19T21:58:07
170,5,Rash Driving,car,RED,2026-02-19T21:58:07
170,9,Rash Driving,car,RED,2026-02-19T21:58:07
170,15,Rash Driving,car,RED,2026-02-19T21:58:07
170,17,Red Light Jump,car,RED,2026-02-19T21:58:07
170,17,Rash Driving,car,RED,2026-02-19T21:58:07
170,18,Rash Driving,car,RED,2026-02-19T21:58:07
180,1,Rash Driving,bus,GREEN,2026-02-19T21:58:08
180,5,Rash Driving,car,GREEN,2026-02-19T21:58:08
180,8,Rash Driving,bus,GREEN,2026-02-19T21:58:08
180,9,Rash Driving,car,GREEN,2026-02-19T21:58:08
180,15,Rash Driving,car,GREEN,2026-02-19T21:58:08
180,18,Rash Driving,car,GREEN,2026-02-19T21:58:08
190,11,Rash Driving,car,GREEN,2026-02-19T21:58:08
190,16,Rash Driving,car,GREEN,2026-02-19T21:58:08
190,18,Rash Driving,car,GREEN,2026-02-19T21:58:08
200,5,Rash Driving,car,RED,2026-02-19T21:58:09
200,10,Rash Driving,bus,RED,2026-02-19T21:58:09
200,12,Red Light Jump,car,RED,2026-02-19T21:58:09
200,12,Rash Driving,car,RED,2026-02-19T21:58:09
200,18,Rash Driving,car,RED,2026-02-19T21:58:09
210,5,Rash Driving,car,GREEN,2026-02-19T21:58:10
210,6,Rash Driving,car,GREEN,2026-02-19T21:58:10
210,11,Rash Driving,car,GREEN,2026-02-19T21:58:10
210,13,Rash Driving,car,GREEN,2026-02-19T21:58:10
210,16,Rash Driving,car,GREEN,2026-02-19T21:58:10
210,17,Rash Driving,car,GREEN,2026-02-19T21:58:10
220,5,Rash Driving,car,RED,2026-02-19T21:58:10
220,6,Rash Driving,car,RED,2026-02-19T21:58:10
220,11,Rash Driving,car,RED,2026-02-19T21:58:10
220,12,Red Light Jump,car,RED,2026-02-19T21:58:10
220,13,Rash Driving,car,RED,2026-02-19T21:58:10
220,15,Rash Driving,car,RED,2026-02-19T21:58:10
220,16,Red Light Jump,car,RED,2026-02-19T21:58:10
220,16,Rash Driving,car,RED,2026-02-19T21:58:10
220,18,Rash Driving,truck,RED,2026-02-19T21:58:10
230,5,Rash Driving,car,GREEN,2026-02-19T21:58:11
230,9,Rash Driving,car,GREEN,2026-02-19T21:58:11
230,10,Rash Driving,car,GREEN,2026-02-19T21:58:11
