frame,track_id,violation_type,vehicle_type,signal_state,timestamp
30,3,Rash Driving,car,GREEN,2026-02-14T01:05:31
30,4,Rash Driving,bike,GREEN,2026-02-14T01:05:31
30,5,Rash Driving,bike,GREEN,2026-02-14T01:05:31
45,2,Rash Driving,car,RED,2026-02-14T01:05:31
45,6,Rash Driving,bike,RED,2026-02-14T01:05:31
45,7,Rash Driving,bike,RED,2026-02-14T01:05:31
60,5,Rash Driving,bike,GREEN,2026-02-14T01:05:31
75,3,Rash Driving,car,GREEN,2026-02-14T01:05:32
90,2,Rash Driving,car,RED,2026-02-14T01:05:32
90,5,Rash Driving,bike,RED,2026-02-14T01:05:32
90,7,Rash Driving,bike,RED,2026-02-14T01:05:32
105,3,Rash Driving,car,GREEN,2026-02-14T01:05:32
120,4,Rash Driving,bike,RED,2026-02-14T01:05:33
120,5,Rash Driving,bike,RED,2026-02-14T01:05:33
120,7,Rash Driving,bike,RED,2026-02-14T01:05:33
120,8,Rash Driving,car,RED,2026-02-14T01:05:33
135,1,Rash Driving,car,RED,2026-02-14T01:05:33
135,2,Rash Driving,car,RED,2026-02-14T01:05:33
135,3,Rash Driving,car,RED,2026-02-14T01:05:33
150,6,Rash Driving,bike,GREEN,2026-02-14T01:05:33
150,8,Rash Driving,car,GREEN,2026-02-14T01:05:33
150,9,Rash Driving,bike,GREEN,2026-02-14T01:05:33
165,1,Rash Driving,car,RED,2026-02-14T01:05:33
165,2,Rash Driving,car,RED,2026-02-14T01:05:33
165,4,Rash Driving,bike,RED,2026-02-14T01:05:33
165,5,Rash Driving,bike,RED,2026-02-14T01:05:33
165,7,Rash Driving,bike,RED,2026-02-14T01:05:33
180,9,Rash Driving,bike,GREEN,2026-02-14T01:05:34
195,1,Rash Driving,car,GREEN,2026-02-14T01:05:34
195,2,Rash Driving,bike,GREEN,2026-02-14T01:05:34
195,3,Rash Driving,bike,GREEN,2026-02-14T01:05:34
195,5,Rash Driving,bike,GREEN,2026-02-14T01:05:34
195,8,Rash Driving,car,GREEN,2026-02-14T01:05:34
210,4,Rash Driving,bike,RED,2026-02-14T01:05:34
210,6,Rash Driving,bike,RED,2026-02-14T01:05:34
210,7,Rash Driving,bike,RED,2026-02-14T01:05:34
210,9,Rash Driving,bike,RED,2026-02-14T01:05:34
210,10,Rash Driving,bike,RED,2026-02-14T01:05:34
225,1,Rash Driving,car,GREEN,2026-02-14T01:05:35
225,2,Rash Driving,bike,GREEN,2026-02-14T01:05:35
225,5,Rash Driving,bike,GREEN,2026-02-14T01:05:35
240,8,Rash Driving,car,RED,2026-02-14T01:05:35
240,10,Rash Driving,bike,RED,2026-02-14T01:05:35
255,2,Rash Driving,bike,RED,2026-02-14T01:05:36
255,3,Rash Driving,bike,RED,2026-02-14T01:05:36
255,7,Rash Driving,bike,RED,2026-02-14T01:05:36
255,9,Rash Driving,bike,RED,2026-02-14T01:05:36
270,6,Rash Driving,bike,GREEN,2026-02-14T01:05:36
270,8,Rash Driving,car,GREEN,2026-02-14T01:05:36
270,10,Rash Driving,bike,GREEN,2026-02-14T01:05:36
270,11,Rash Driving,bike,GREEN,2026-02-14T01:05:36
285,1,Rash Driving,car,RED,2026-02-14T01:05:37
285,9,Rash Driving,bike,RED,2026-02-14T01:05:37
300,6,Rash Driving,bike,GREEN,2026-02-14T01:05:37
300,11,Rash Driving,bike,GREEN,2026-02-14T01:05:37
315,8,Rash Driving,car,GREEN,2026-02-14T01:05:38
315,10,Rash Driving,car,GREEN,2026-02-14T01:05:38
330,1,Rash Driving,car,RED,2026-02-14T01:05:38
330,2,Rash Driving,bike,RED,2026-02-14T01:05:38
330,6,Rash Driving,bike,RED,2026-02-14T01:05:38
330,9,Rash Driving,bike,RED,2026-02-14T01:05:38
330,11,Rash Driving,bike,RED,2026-02-14T01:05:38
345,8,Rash Driving,car,GREEN,2026-02-14T01:05:39
360,1,Rash Driving,car,RED,2026-02-14T01:05:39
360,9,Rash Driving,bike,RED,2026-02-14T01:05:39
360,12,Rash Driving,bike,RED,2026-02-14T01:05:39
375,2,Rash Driving,bike,RED,2026-02-14T01:05:40
375,6,Rash Driving,bike,RED,2026-02-14T01:05:40
375,8,Rash Driving,car,RED,2026-02-14T01:05:40
390,9,Rash Driving,bike,GREEN,2026-02-14T01:05:40
390,12,Rash Driving,bike,GREEN,2026-02-14T01:05:40
405,1,Rash Driving,car,RED,2026-02-14T01:05:41
405,2,Rash Driving,bike,RED,2026-02-14T01:05:41
405,6,Rash Driving,bike,RED,2026-02-14T01:05:41
420,11,Rash Driving,bike,GREEN,2026-02-14T01:05:42
435,4,Rash Driving,bike,GREEN,2026-02-14T01:05:42
435,6,Rash Driving,bike,GREEN,2026-02-14T01:05:42
435,8,Rash Driving,car,GREEN,2026-02-14T01:05:42
450,1,Red Light Jump,car,RED,2026-02-14T01:05:43
450,12,Red Light Jump,bus,RED,2026-02-14T01:05:43
450,12,Rash Driving,bus,RED,2026-02-14T01:05:43
465,2,Rash Driving,bike,GREEN,2026-02-14T01:05:43
480,1,Rash Driving,car,RED,2026-02-14T01:05:44
480,11,Rash Driving,bike,RED,2026-02-14T01:05:44
495,2,Rash Driving,bike,RED,2026-02-14T01:05:44
495,4,Rash Driving,bike,RED,2026-02-14T01:05:44
495,5,Rash Driving,car,RED,2026-02-14T01:05:44
510,1,Rash Driving,car,GREEN,2026-02-14T01:05:45
510,6,Rash Driving,truck,GREEN,2026-02-14T01:05:45
510,9,Rash Driving,bike,GREEN,2026-02-14T01:05:45
510,10,Rash Driving,bike,GREEN,2026-02-14T01:05:45
510,11,Rash Driving,bike,GREEN,2026-02-14T01:05:45
510,12,Rash Driving,car,GREEN,2026-02-14T01:05:45
525,2,Rash Driving,bike,RED,2026-02-14T01:05:45
525,3,Rash Driving,bike,RED,2026-02-14T01:05:45
525,4,Rash Driving,bike,RED,2026-02-14T01:05:45
525,5,Rash Driving,car,RED,2026-02-14T01:05:45
525,6,Red Light Jump,truck,RED,2026-02-14T01:05:45
555,1,Rash Driving,car,GREEN,2026-02-14T01:05:46
555,6,Rash Driving,car,GREEN,2026-02-14T01:05:46
