frame_id,track_id,vehicle_type,bbox,center_x,center_y,timestamp
15,1,car,"73,148,48,43",97.0,169.5,2026-02-14T01:05:30
15,2,car,"129,144,43,47",150.5,167.5,2026-02-14T01:05:30
15,3,car,"238,171,64,64",270.0,203.0,2026-02-14T01:05:30
15,4,bike,"284,229,37,50",302.5,254.0,2026-02-14T01:05:30
15,5,car,"132,110,35,16",149.5,118.0,2026-02-14T01:05:30
30,1,car,"76,150,47,42",99.5,171.0,2026-02-14T01:05:31
30,2,car,"134,147,44,47",156.0,170.5,2026-02-14T01:05:31
30,3,car,"240,175,73,70",276.5,210.0,2026-02-14T01:05:31
30,4,bike,"298,244,43,48",319.5,268.0,2026-02-14T01:05:31
30,5,bike,"192,208,22,41",203.0,228.5,2026-02-14T01:05:31
30,6,bike,"66,214,26,40",79.0,234.0,2026-02-14T01:05:31
30,7,bike,"112,213,25,54",124.5,240.0,2026-02-14T01:05:31
45,1,car,"79,154,46,42",102.0,175.0,2026-02-14T01:05:31
45,2,car,"137,153,43,52",158.5,179.0,2026-02-14T01:05:31
45,3,car,"263,201,60,57",293.0,229.5,2026-02-14T01:05:31
45,5,bike,"199,225,23,35",210.5,242.5,2026-02-14T01:05:31
45,6,bike,"53,226,28,44",67.0,248.0,2026-02-14T01:05:31
45,7,bike,"212,167,20,34",222.0,184.0,2026-02-14T01:05:31
60,1,car,"80,157,45,45",102.5,179.5,2026-02-14T01:05:31
60,2,car,"141,160,41,55",161.5,187.5,2026-02-14T01:05:31
60,3,car,"253,188,83,83",294.5,229.5,2026-02-14T01:05:31
60,5,bike,"180,141,20,33",190.0,157.5,2026-02-14T01:05:31
60,6,bike,"34,243,35,48",51.5,267.0,2026-02-14T01:05:31
60,7,bike,"216,163,30,44",231.0,185.0,2026-02-14T01:05:31
75,1,car,"76,160,49,46",100.5,183.0,2026-02-14T01:05:32
75,2,car,"141,166,42,60",162.0,196.0,2026-02-14T01:05:32
75,3,car,"260,198,88,88",304.0,242.0,2026-02-14T01:05:32
75,5,bike,"220,176,20,36",230.0,194.0,2026-02-14T01:05:32
75,7,bike,"221,164,33,46",237.5,187.0,2026-02-14T01:05:32
90,1,car,"75,163,47,48",98.5,187.0,2026-02-14T01:05:32
90,2,car,"135,193,46,49",158.0,217.5,2026-02-14T01:05:32
90,3,car,"269,205,96,86",317.0,248.0,2026-02-14T01:05:32
90,5,bike,"193,151,22,34",204.0,168.0,2026-02-14T01:05:32
90,7,bike,"227,180,23,39",238.5,199.5,2026-02-14T01:05:32
90,8,car,"98,111,27,24",111.5,123.0,2026-02-14T01:05:32
105,1,car,"72,167,48,52",96.0,193.0,2026-02-14T01:05:32
105,2,car,"126,204,54,56",153.0,232.0,2026-02-14T01:05:32
105,3,car,"276,216,104,76",328.0,254.0,2026-02-14T01:05:32
105,4,bike,"253,174,22,38",264.0,193.0,2026-02-14T01:05:32
105,5,bike,"198,156,24,32",210.0,172.0,2026-02-14T01:05:32
105,7,bike,"236,186,23,42",247.5,207.0,2026-02-14T01:05:32
120,1,car,"64,171,55,56",91.5,199.0,2026-02-14T01:05:33
120,2,car,"117,195,61,84",147.5,237.0,2026-02-14T01:05:33
120,3,car,"286,227,102,64",337.0,259.0,2026-02-14T01:05:33
120,4,bike,"263,180,26,44",276.0,202.0,2026-02-14T01:05:33
120,5,bike,"205,156,26,37",218.0,174.5,2026-02-14T01:05:33
120,7,bike,"245,193,26,45",258.0,215.5,2026-02-14T01:05:33
120,8,car,"143,135,37,28",161.5,149.0,2026-02-14T01:05:33
120,9,bike,"175,158,17,28",183.5,172.0,2026-02-14T01:05:33
135,1,car,"55,180,62,56",86.0,208.0,2026-02-14T01:05:33
135,2,car,"100,206,73,86",136.5,249.0,2026-02-14T01:05:33
135,3,car,"300,242,101,50",350.5,267.0,2026-02-14T01:05:33
135,5,bike,"212,161,24,40",224.0,181.0,2026-02-14T01:05:33
135,8,car,"149,135,35,30",166.5,150.0,2026-02-14T01:05:33
135,9,bike,"181,157,20,34",191.0,174.0,2026-02-14T01:05:33
150,1,car,"43,183,72,63",79.0,214.5,2026-02-14T01:05:33
150,2,car,"85,222,83,70",126.5,257.0,2026-02-14T01:05:33
150,3,car,"318,258,92,34",364.0,275.0,2026-02-14T01:05:33
150,4,bike,"269,207,29,51",283.5,232.5,2026-02-14T01:05:33
150,5,bike,"218,164,20,41",228.0,184.5,2026-02-14T01:05:33
150,6,bike,"153,171,15,30",160.5,186.0,2026-02-14T01:05:33
150,7,bike,"265,154,18,32",274.0,170.0,2026-02-14T01:05:33
150,8,car,"155,139,37,30",173.5,154.0,2026-02-14T01:05:33
150,9,bike,"190,166,19,33",199.5,182.5,2026-02-14T01:05:33
165,1,car,"28,189,82,70",69.0,224.0,2026-02-14T01:05:33
165,2,car,"69,239,89,53",113.5,265.5,2026-02-14T01:05:33
165,4,bike,"282,216,31,57",297.5,244.5,2026-02-14T01:05:33
165,5,bike,"226,172,21,40",236.5,192.0,2026-02-14T01:05:33
165,6,bike,"153,174,14,34",160.0,191.0,2026-02-14T01:05:33
165,7,bike,"271,158,21,34",281.5,175.0,2026-02-14T01:05:33
165,8,car,"163,141,35,30",180.5,156.0,2026-02-14T01:05:33
165,9,bike,"198,172,18,37",207.0,190.5,2026-02-14T01:05:33
180,1,car,"8,197,94,76",55.0,235.0,2026-02-14T01:05:34
180,2,bike,"120,184,21,42",130.5,205.0,2026-02-14T01:05:34
180,5,bike,"235,178,22,43",246.0,199.5,2026-02-14T01:05:34
180,6,bike,"148,175,20,38",158.0,194.0,2026-02-14T01:05:34
180,7,bike,"282,166,19,35",291.5,183.5,2026-02-14T01:05:34
180,8,car,"154,144,50,30",179.0,159.0,2026-02-14T01:05:34
180,9,bike,"205,182,18,37",214.0,200.5,2026-02-14T01:05:34
195,1,car,"0,205,92,86",46.0,248.0,2026-02-14T01:05:34
195,2,bike,"116,188,22,54",127.0,215.0,2026-02-14T01:05:34
195,3,bike,"318,224,60,68",348.0,258.0,2026-02-14T01:05:34
195,4,bike,"264,178,22,44",275.0,200.0,2026-02-14T01:05:34
195,5,bike,"244,186,23,46",255.5,209.0,2026-02-14T01:05:34
195,6,bike,"144,176,20,45",154.0,198.5,2026-02-14T01:05:34
195,7,bike,"291,173,23,36",302.5,191.0,2026-02-14T01:05:34
195,8,car,"157,146,54,33",184.0,162.5,2026-02-14T01:05:34
195,9,bike,"214,189,19,42",223.5,210.0,2026-02-14T01:05:34
195,10,bike,"76,170,27,49",89.5,194.5,2026-02-14T01:05:34
210,1,car,"0,217,79,74",39.5,254.0,2026-02-14T01:05:34
210,2,bike,"111,202,24,52",123.0,228.0,2026-02-14T01:05:34
210,4,bike,"277,200,21,31",287.5,215.5,2026-02-14T01:05:34
210,5,bike,"254,207,25,37",266.5,225.5,2026-02-14T01:05:34
210,6,bike,"170,179,16,29",178.0,193.5,2026-02-14T01:05:34
210,7,bike,"304,185,24,37",316.0,203.5,2026-02-14T01:05:34
210,8,car,"162,150,57,35",190.5,167.5,2026-02-14T01:05:34
210,9,bike,"223,207,21,41",233.5,227.5,2026-02-14T01:05:34
210,10,bike,"76,188,26,38",89.0,207.0,2026-02-14T01:05:34
225,1,car,"0,230,61,60",30.5,260.0,2026-02-14T01:05:35
225,2,bike,"102,216,26,54",115.0,243.0,2026-02-14T01:05:35
225,5,bike,"267,218,26,39",280.0,237.5,2026-02-14T01:05:35
225,6,bike,"174,188,16,29",182.0,202.5,2026-02-14T01:05:35
225,7,bike,"317,192,27,39",330.5,211.5,2026-02-14T01:05:35
225,8,car,"166,153,62,37",197.0,171.5,2026-02-14T01:05:35
225,9,bike,"235,218,25,46",247.5,241.0,2026-02-14T01:05:35
225,10,bike,"63,190,34,42",80.0,211.0,2026-02-14T01:05:35
225,11,car,"146,128,26,26",159.0,141.0,2026-02-14T01:05:35
240,1,car,"0,246,39,46",19.5,269.0,2026-02-14T01:05:35
240,2,bike,"91,244,28,46",105.0,267.0,2026-02-14T01:05:35
240,3,bike,"304,225,25,34",316.5,242.0,2026-02-14T01:05:35
240,5,bike,"281,236,26,37",294.0,254.5,2026-02-14T01:05:35
