frame,track_id,violation_type,vehicle_type,signal_state,timestamp
20,1,Rash Driving,car,GREEN,2026-02-18T17:27:17
20,2,Rash Driving,car,GREEN,2026-02-18T17:27:17
20,4,Rash Driving,car,GREEN,2026-02-18T17:27:17
20,5,Rash Driving,car,GREEN,2026-02-18T17:27:17
20,7,Rash Driving,truck,GREEN,2026-02-18T17:27:17
30,1,Rash Driving,car,RED,2026-02-18T17:27:17
30,2,Rash Driving,car,RED,2026-02-18T17:27:17
30,5,Rash Driving,car,RED,2026-02-18T17:27:17
30,6,Rash Driving,car,RED,2026-02-18T17:27:17
30,7,Rash Driving,car,RED,2026-02-18T17:27:17
30,10,Rash Driving,bus,RED,2026-02-18T17:27:17
40,4,Rash Driving,car,GREEN,2026-02-18T17:27:17
40,6,Rash Driving,car,GREEN,2026-02-18T17:27:17
40,10,Rash Driving,bus,GREEN,2026-02-18T17:27:17
50,2,Rash Driving,car,RED,2026-02-18T17:27:18
50,5,Rash Driving,car,RED,2026-02-18T17:27:18
50,6,Red Light Jump,car,RED,2026-02-18T17:27:18
60,4,Rash Driving,car,GREEN,2026-02-18T17:27:18
60,8,Rash Driving,car,GREEN,2026-02-18T17:27:18
60,9,Rash Driving,car,GREEN,2026-02-18T17:27:18
60,10,Rash Driving,bus,GREEN,2026-02-18T17:27:18
70,5,Rash Driving,car,GREEN,2026-02-18T17:27:18
70,8,Rash Driving,car,GREEN,2026-02-18T17:27:18
70,10,Rash Driving,truck,GREEN,2026-02-18T17:27:18
70,11,Rash Driving,car,GREEN,2026-02-18T17:27:18
80,8,Rash Driving,bus,RED,2026-02-18T17:27:18
80,9,Rash Driving,car,RED,2026-02-18T17:27:18
80,11,Rash Driving,car,RED,2026-02-18T17:27:18
80,13,Red Light Jump,car,RED,2026-02-18T17:27:18
80,13,Rash Driving,car,RED,2026-02-18T17:27:18
90,1,Rash Driving,car,GREEN,2026-02-18T17:27:18
90,9,Rash Driving,car,GREEN,2026-02-18T17:27:18
90,11,Rash Driving,car,GREEN,2026-02-18T17:27:18
90,13,Rash Driving,car,GREEN,2026-02-18T17:27:18
100,3,Rash Driving,car,RED,2026-02-18T17:27:18
100,8,Red Light Jump,bus,RED,2026-02-18T17:27:18
100,9,Rash Driving,car,RED,2026-02-18T17:27:18
100,11,Rash Driving,car,RED,2026-02-18T17:27:18
100,12,Rash Driving,car,RED,2026-02-18T17:27:18
100,13,Rash Driving,car,RED,2026-02-18T17:27:18
110,5,Rash Driving,car,GREEN,2026-02-18T17:27:19
