frame,camera_id,location,cars,bikes,buses,trucks,total_vehicles,queue_count,red_light_violations,rash_driving,timestamp
600,CAM-01,Primary Junction,18,0,0,0,18,18,26,14,2026-02-13T17:55:27
604,CAM-01,Primary Junction,19,0,0,0,19,19,26,14,2026-02-13T17:55:27
608,CAM-01,Primary Junction,20,0,0,0,20,20,27,14,2026-02-13T17:55:27
612,CAM-01,Primary Junction,19,0,0,0,19,19,27,14,2026-02-13T17:55:27
616,CAM-01,Primary Junction,18,0,0,0,18,18,27,14,2026-02-13T17:55:27
620,CAM-01,Primary Junction,18,0,0,0,18,18,27,14,2026-02-13T17:55:27
624,CAM-01,Primary Junction,18,0,0,0,18,18,27,14,2026-02-13T17:55:27
628,CAM-01,Primary Junction,19,0,0,0,19,19,27,14,2026-02-13T17:55:28
632,CAM-01,Primary Junction,18,0,0,0,18,18,27,14,2026-02-13T17:55:28
636,CAM-01,Primary Junction,18,0,0,0,18,18,27,14,2026-02-13T17:55:28
640,CAM-01,Primary Junction,17,0,0,0,17,17,27,14,2026-02-13T17:55:28
644,CAM-01,Primary Junction,16,0,0,1,17,17,27,14,2026-02-13T17:55:28
648,CAM-01,Primary Junction,16,0,0,0,16,16,27,14,2026-02-13T17:55:28
652,CAM-01,Primary Junction,17,0,0,1,18,18,27,14,2026-02-13T17:55:28
656,CAM-01,Primary Junction,16,0,0,1,17,17,27,14,2026-02-13T17:55:28
660,CAM-01,Primary Junction,18,0,0,1,19,19,27,14,2026-02-13T17:55:29
