frame,camera_id,location,cars,bikes,buses,trucks,total_vehicles,queue_count,red_light_violations,rash_driving,timestamp
4,CAM-01,Primary Junction,14,0,0,2,16,16,0,0,2026-02-13T17:55:06
8,CAM-01,Primary Junction,16,0,0,1,17,17,0,0,2026-02-13T17:55:06
12,CAM-01,Primary Junction,15,0,0,4,19,19,0,0,2026-02-13T17:55:07
16,CAM-01,Primary Junction,14,0,0,1,15,15,0,0,2026-02-13T17:55:07
20,CAM-01,Primary Junction,14,0,0,2,16,16,0,0,2026-02-13T17:55:07
24,CAM-01,Primary Junction,13,0,0,0,13,13,0,0,2026-02-13T17:55:07
28,CAM-01,Primary Junction,15,0,0,0,15,15,0,0,2026-02-13T17:55:07
32,CAM-01,Primary Junction,15,0,0,0,15,15,0,0,2026-02-13T17:55:07
36,CAM-01,Primary Junction,14,0,0,1,15,15,0,0,2026-02-13T17:55:07
40,CAM-01,Primary Junction,13,0,0,0,13,13,0,0,2026-02-13T17:55:08
44,CAM-01,Primary Junction,13,0,0,0,13,13,0,0,2026-02-13T17:55:08
48,CAM-01,Primary Junction,12,0,0,0,12,12,0,0,2026-02-13T17:55:08
52,CAM-01,Primary Junction,11,0,0,0,11,11,0,0,2026-02-13T17:55:08
56,CAM-01,Primary Junction,11,0,0,1,12,12,0,0,2026-02-13T17:55:08
60,CAM-01,Primary Junction,14,0,0,0,14,14,0,0,2026-02-13T17:55:08
64,CAM-01,Primary Junction,11,0,0,0,11,11,0,0,2026-02-13T17:55:08
68,CAM-01,Primary Junction,12,0,0,0,12,12,0,0,2026-02-13T17:55:09
72,CAM-01,Primary Junction,14,0,0,0,14,14,0,0,2026-02-13T17:55:09
76,CAM-01,Primary Junction,13,0,0,1,14,14,0,0,2026-02-13T17:55:09
80,CAM-01,Primary Junction,12,0,0,1,13,13,0,0,2026-02-13T17:55:09
84,CAM-01,Primary Junction,11,0,0,1,12,12,0,0,2026-02-13T17:55:09
88,CAM-01,Primary Junction,11,0,0,1,12,12,0,0,2026-02-13T17:55:09
92,CAM-01,Primary Junction,11,0,0,1,12,12,0,0,2026-02-13T17:55:09
96,CAM-01,Primary Junction,12,0,0,1,13,13,0,0,2026-02-13T17:55:10
100,CAM-01,Primary Junction,13,0,0,1,14,14,0,0,2026-02-13T17:55:10
104,CAM-01,Primary Junction,12,0,0,1,13,13,0,0,2026-02-13T17:55:10
108,CAM-01,Primary Junction,12,0,0,1,13,13,0,0,2026-02-13T17:55:10
112,CAM-01,Primary Junction,13,0,0,1,14,14,0,0,2026-02-13T17:55:10
116,CAM-01,Primary Junction,13,0,0,1,14,14,0,0,2026-02-13T17:55:10
120,CAM-01,Primary Junction,12,0,0,1,13,13,0,0,2026-02-13T17:55:10
124,CAM-01,Primary Junction,13,0,0,2,15,15,0,0,2026-02-13T17:55:11
128,CAM-01,Primary Junction,16,0,0,1,17,17,0,0,2026-02-13T17:55:11
132,CAM-01,Primary Junction,15,0,0,1,16,16,0,0,2026-02-13T17:55:11
136,CAM-01,Primary Junction,14,0,0,1,15,15,0,0,2026-02-13T17:55:11
140,CAM-01,Primary Junction,15,0,0,1,16,16,0,0,2026-02-13T17:55:11
144,CAM-01,Primary Junction,14,0,0,1,15,15,0,0,2026-02-13T17:55:11
148,CAM-01,Primary Junction,13,0,0,0,13,13,0,0,2026-02-13T17:55:11
152,CAM-01,Primary Junction,16,0,0,1,17,17,0,0,2026-02-13T17:55:11
156,CAM-01,Primary Junction,18,0,0,2,20,20,1,0,2026-02-13T17:55:12
160,CAM-01,Primary Junction,18,0,0,1,19,19,1,0,2026-02-13T17:55:12
164,CAM-01,Primary Junction,19,0,0,1,20,20,2,0,2026-02-13T17:55:12
168,CAM-01,Primary Junction,18,0,0,0,18,18,2,0,2026-02-13T17:55:12
172,CAM-01,Primary Junction,18,0,0,0,18,18,2,0,2026-02-13T17:55:12
176,CAM-01,Primary Junction,16,0,0,0,16,16,2,0,2026-02-13T17:55:12
180,CAM-01,Primary Junction,18,0,0,1,19,19,2,0,2026-02-13T17:55:12
184,CAM-01,Primary Junction,18,0,0,1,19,19,2,0,2026-02-13T17:55:13
188,CAM-01,Primary Junction,18,0,0,0,18,18,2,0,2026-02-13T17:55:13
192,CAM-01,Primary Junction,20,0,0,1,21,21,3,0,2026-02-13T17:55:13
196,CAM-01,Primary Junction,16,0,0,1,17,17,3,0,2026-02-13T17:55:13
200,CAM-01,Primary Junction,14,0,0,1,15,15,3,0,2026-02-13T17:55:13
204,CAM-01,Primary Junction,16,0,0,1,17,17,3,0,2026-02-13T17:55:13
208,CAM-01,Primary Junction,18,0,0,0,18,18,3,0,2026-02-13T17:55:13
212,CAM-01,Primary Junction,19,0,0,0,19,19,3,1,2026-02-13T17:55:14
216,CAM-01,Primary Junction,18,0,0,1,19,19,3,2,2026-02-13T17:55:14
220,CAM-01,Primary Junction,17,0,0,0,17,17,3,3,2026-02-13T17:55:14
224,CAM-01,Primary Junction,20,0,0,0,20,20,4,4,2026-02-13T17:55:14
228,CAM-01,Primary Junction,18,0,0,0,18,18,4,5,2026-02-13T17:55:14
232,CAM-01,Primary Junction,18,0,0,0,18,18,4,6,2026-02-13T17:55:14
236,CAM-01,Primary Junction,17,0,0,0,17,17,4,7,2026-02-13T17:55:14
240,CAM-01,Primary Junction,19,0,0,0,19,19,4,8,2026-02-13T17:55:14
244,CAM-01,Primary Junction,17,0,0,0,17,17,4,9,2026-02-13T17:55:15
248,CAM-01,Primary Junction,18,0,0,0,18,18,4,9,2026-02-13T17:55:15
252,CAM-01,Primary Junction,18,0,0,0,18,18,4,9,2026-02-13T17:55:15
256,CAM-01,Primary Junction,21,0,0,0,21,21,5,9,2026-02-13T17:55:15
260,CAM-01,Primary Junction,19,0,0,0,19,19,5,9,2026-02-13T17:55:15
264,CAM-01,Primary Junction,19,0,0,0,19,19,5,9,2026-02-13T17:55:15
268,CAM-01,Primary Junction,19,0,0,0,19,19,5,9,2026-02-13T17:55:15
272,CAM-01,Primary Junction,20,0,0,0,20,20,6,9,2026-02-13T17:55:16
276,CAM-01,Primary Junction,19,0,0,0,19,19,6,9,2026-02-13T17:55:16
280,CAM-01,Primary Junction,19,0,0,0,19,19,6,9,2026-02-13T17:55:16
284,CAM-01,Primary Junction,18,0,0,1,19,19,6,9,2026-02-13T17:55:16
288,CAM-01,Primary Junction,19,0,0,0,19,19,6,9,2026-02-13T17:55:16
292,CAM-01,Primary Junction,15,0,0,1,16,16,6,9,2026-02-13T17:55:16
296,CAM-01,Primary Junction,15,0,0,0,15,15,6,9,2026-02-13T17:55:16
300,CAM-01,Primary Junction,17,0,0,0,17,17,6,9,2026-02-13T17:55:17
304,CAM-01,Primary Junction,18,0,0,0,18,18,6,9,2026-02-13T17:55:17
308,CAM-01,Primary Junction,17,0,0,0,17,17,6,9,2026-02-13T17:55:17
312,CAM-01,Primary Junction,17,0,0,0,17,17,6,9,2026-02-13T17:55:17
316,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:17
320,CAM-01,Primary Junction,16,0,0,0,16,16,6,9,2026-02-13T17:55:17
324,CAM-01,Primary Junction,15,0,0,0,15,15,6,9,2026-02-13T17:55:17
328,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:17
332,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:18
336,CAM-01,Primary Junction,15,0,0,0,15,15,6,9,2026-02-13T17:55:18
340,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:18
344,CAM-01,Primary Junction,16,0,0,0,16,16,6,9,2026-02-13T17:55:18
348,CAM-01,Primary Junction,16,0,0,0,16,16,6,9,2026-02-13T17:55:18
352,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:18
356,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:18
360,CAM-01,Primary Junction,13,0,0,0,13,13,6,9,2026-02-13T17:55:19
364,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:19
368,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:19
372,CAM-01,Primary Junction,16,0,0,0,16,16,6,9,2026-02-13T17:55:19
376,CAM-01,Primary Junction,15,0,0,0,15,15,6,9,2026-02-13T17:55:19
380,CAM-01,Primary Junction,15,0,0,0,15,15,6,9,2026-02-13T17:55:19
384,CAM-01,Primary Junction,17,0,0,0,17,17,6,9,2026-02-13T17:55:19
388,CAM-01,Primary Junction,15,0,0,0,15,15,6,9,2026-02-13T17:55:20
392,CAM-01,Primary Junction,15,0,0,0,15,15,6,9,2026-02-13T17:55:20
396,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:20
400,CAM-01,Primary Junction,16,0,0,0,16,16,6,9,2026-02-13T17:55:20
404,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:20
408,CAM-01,Primary Junction,13,0,0,0,13,13,6,9,2026-02-13T17:55:20
412,CAM-01,Primary Junction,15,0,0,0,15,15,6,9,2026-02-13T17:55:20
416,CAM-01,Primary Junction,13,0,0,0,13,13,6,9,2026-02-13T17:55:20
420,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:21
424,CAM-01,Primary Junction,12,0,0,0,12,12,6,9,2026-02-13T17:55:21
428,CAM-01,Primary Junction,13,0,0,0,13,13,6,9,2026-02-13T17:55:21
432,CAM-01,Primary Junction,12,0,0,1,13,13,6,9,2026-02-13T17:55:21
436,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:21
440,CAM-01,Primary Junction,15,0,0,0,15,15,6,9,2026-02-13T17:55:21
444,CAM-01,Primary Junction,16,0,0,0,16,16,6,9,2026-02-13T17:55:21
448,CAM-01,Primary Junction,15,0,0,1,16,16,6,9,2026-02-13T17:55:22
452,CAM-01,Primary Junction,13,0,0,0,13,13,6,9,2026-02-13T17:55:22
456,CAM-01,Primary Junction,14,0,0,0,14,14,6,9,2026-02-13T17:55:22
460,CAM-01,Primary Junction,15,0,0,1,16,16,6,9,2026-02-13T17:55:22
464,CAM-01,Primary Junction,19,0,0,0,19,19,6,9,2026-02-13T17:55:22
468,CAM-01,Primary Junction,16,0,0,1,17,17,6,9,2026-02-13T17:55:22
472,CAM-01,Primary Junction,20,0,0,1,21,21,7,9,2026-02-13T17:55:22
476,CAM-01,Primary Junction,19,0,0,0,19,19,7,9,2026-02-13T17:55:22
480,CAM-01,Primary Junction,19,0,0,0,19,19,7,9,2026-02-13T17:55:23
484,CAM-01,Primary Junction,19,0,0,0,19,19,7,9,2026-02-13T17:55:23
488,CAM-01,Primary Junction,22,0,0,0,22,22,8,9,2026-02-13T17:55:23
492,CAM-01,Primary Junction,21,0,0,0,21,21,9,9,2026-02-13T17:55:23
496,CAM-01,Primary Junction,20,0,0,0,20,20,10,9,2026-02-13T17:55:23
500,CAM-01,Primary Junction,22,0,0,0,22,22,11,9,2026-02-13T17:55:23
504,CAM-01,Primary Junction,21,0,0,0,21,21,12,9,2026-02-13T17:55:23
508,CAM-01,Primary Junction,21,0,0,0,21,21,13,9,2026-02-13T17:55:24
512,CAM-01,Primary Junction,21,0,0,0,21,21,14,9,2026-02-13T17:55:24
516,CAM-01,Primary Junction,20,0,0,0,20,20,15,9,2026-02-13T17:55:24
520,CAM-01,Primary Junction,19,0,0,0,19,19,15,9,2026-02-13T17:55:24
524,CAM-01,Primary Junction,20,0,0,0,20,20,16,9,2026-02-13T17:55:24
528,CAM-01,Primary Junction,20,0,0,0,20,20,17,9,2026-02-13T17:55:24
532,CAM-01,Primary Junction,21,0,0,0,21,21,18,9,2026-02-13T17:55:24
536,CAM-01,Primary Junction,23,0,0,0,23,23,19,9,2026-02-13T17:55:24
540,CAM-01,Primary Junction,19,0,0,0,19,19,19,9,2026-02-13T17:55:25
544,CAM-01,Primary Junction,19,1,0,0,20,19,20,9,2026-02-13T17:55:25
548,CAM-01,Primary Junction,17,0,0,0,17,17,20,9,2026-02-13T17:55:25
552,CAM-01,Primary Junction,17,0,0,0,17,17,20,9,2026-02-13T17:55:25
556,CAM-01,Primary Junction,17,0,0,0,17,17,20,9,2026-02-13T17:55:25
560,CAM-01,Primary Junction,18,0,0,0,18,18,20,9,2026-02-13T17:55:25
564,CAM-01,Primary Junction,19,0,0,0,19,19,20,9,2026-02-13T17:55:25
568,CAM-01,Primary Junction,21,0,0,1,22,22,21,10,2026-02-13T17:55:26
572,CAM-01,Primary Junction,19,0,0,1,20,20,22,11,2026-02-13T17:55:26
576,CAM-01,Primary Junction,20,0,0,1,21,21,23,11,2026-02-13T17:55:26
580,CAM-01,Primary Junction,19,0,0,1,20,20,24,12,2026-02-13T17:55:26
584,CAM-01,Primary Junction,20,0,0,0,20,20,25,13,2026-02-13T17:55:26
588,CAM-01,Primary Junction,20,0,0,0,20,20,26,14,2026-02-13T17:55:26
592,CAM-01,Primary Junction,18,0,0,0,18,18,26,14,2026-02-13T17:55:26
596,CAM-01,Primary Junction,17,0,0,0,17,17,26,14,2026-02-13T17:55:27
