frame,track_id,violation_type,vehicle_type,signal_state,timestamp
8,1,Rash Driving,car,RED,2026-02-13T21:02:36
8,2,Rash Driving,car,RED,2026-02-13T21:02:36
8,3,Rash Driving,car,RED,2026-02-13T21:02:36
8,4,Rash Driving,car,RED,2026-02-13T21:02:36
8,5,Rash Driving,bike,RED,2026-02-13T21:02:36
8,6,Rash Driving,bike,RED,2026-02-13T21:02:36
12,8,Rash Driving,bike,RED,2026-02-13T21:02:37
12,9,Rash Driving,bike,RED,2026-02-13T21:02:37
36,1,Rash Driving,car,RED,2026-02-13T21:02:37
36,3,Rash Driving,car,RED,2026-02-13T21:02:37
36,4,Rash Driving,car,RED,2026-02-13T21:02:37
36,7,Rash Driving,bike,RED,2026-02-13T21:02:37
40,5,Rash Driving,bike,RED,2026-02-13T21:02:38
40,8,Rash Driving,bike,RED,2026-02-13T21:02:38
40,9,Rash Driving,bike,RED,2026-02-13T21:02:38
64,1,Rash Driving,car,RED,2026-02-13T21:02:38
64,3,Rash Driving,car,RED,2026-02-13T21:02:38
64,4,Rash Driving,car,RED,2026-02-13T21:02:38
64,7,Rash Driving,bike,RED,2026-02-13T21:02:38
68,9,Rash Driving,bike,RED,2026-02-13T21:02:39
68,10,Red Light Jump,car,RED,2026-02-13T21:02:39
68,10,Rash Driving,car,RED,2026-02-13T21:02:39
84,11,Rash Driving,bike,GREEN,2026-02-13T21:02:39
88,12,Rash Driving,truck,GREEN,2026-02-13T21:02:39
92,3,Rash Driving,car,GREEN,2026-02-13T21:02:39
92,7,Rash Driving,bike,GREEN,2026-02-13T21:02:39
96,1,Rash Driving,bike,GREEN,2026-02-13T21:02:40
96,4,Rash Driving,car,GREEN,2026-02-13T21:02:40
120,3,Rash Driving,car,GREEN,2026-02-13T21:02:40
120,7,Rash Driving,bike,GREEN,2026-02-13T21:02:40
120,12,Rash Driving,car,GREEN,2026-02-13T21:02:40
120,14,Rash Driving,bike,GREEN,2026-02-13T21:02:40
124,1,Rash Driving,bike,GREEN,2026-02-13T21:02:41
124,4,Rash Driving,car,GREEN,2026-02-13T21:02:41
124,11,Rash Driving,bike,GREEN,2026-02-13T21:02:41
124,15,Rash Driving,bike,GREEN,2026-02-13T21:02:41
140,10,Rash Driving,bike,GREEN,2026-02-13T21:02:41
148,3,Rash Driving,car,GREEN,2026-02-13T21:02:41
148,7,Rash Driving,bike,GREEN,2026-02-13T21:02:41
148,12,Rash Driving,car,GREEN,2026-02-13T21:02:41
148,14,Rash Driving,bike,GREEN,2026-02-13T21:02:41
148,16,Rash Driving,car,GREEN,2026-02-13T21:02:41
152,1,Rash Driving,bike,RED,2026-02-13T21:02:42
152,4,Rash Driving,car,RED,2026-02-13T21:02:42
168,15,Rash Driving,bike,RED,2026-02-13T21:02:42
172,17,Rash Driving,bike,RED,2026-02-13T21:02:42
176,10,Rash Driving,bike,RED,2026-02-13T21:02:43
176,12,Rash Driving,car,RED,2026-02-13T21:02:43
176,14,Rash Driving,bike,RED,2026-02-13T21:02:43
176,16,Rash Driving,car,RED,2026-02-13T21:02:43
180,1,Rash Driving,bike,RED,2026-02-13T21:02:43
180,4,Rash Driving,car,RED,2026-02-13T21:02:43
188,18,Rash Driving,bike,RED,2026-02-13T21:02:43
192,19,Rash Driving,bike,RED,2026-02-13T21:02:43
196,15,Rash Driving,bike,RED,2026-02-13T21:02:43
200,17,Rash Driving,bike,RED,2026-02-13T21:02:43
204,10,Rash Driving,bike,RED,2026-02-13T21:02:44
204,16,Rash Driving,car,RED,2026-02-13T21:02:44
204,20,Red Light Jump,bike,RED,2026-02-13T21:02:44
204,20,Rash Driving,bike,RED,2026-02-13T21:02:44
208,1,Rash Driving,bike,RED,2026-02-13T21:02:44
208,4,Rash Driving,car,RED,2026-02-13T21:02:44
208,11,Rash Driving,bike,RED,2026-02-13T21:02:44
212,14,Rash Driving,bike,RED,2026-02-13T21:02:44
224,10,Red Light Jump,car,RED,2026-02-13T21:02:44
228,17,Rash Driving,bike,GREEN,2026-02-13T21:02:44
